time,low,high,open,close,volume
1481155200,761.84,772.81,764.34,767.88,2083.48220149
1481241600,766.01,773.2,767.9,773.2,1825.06460421
1481328000,770.49,776.98,773.15,775.88,1657.38068928
1481414400,765.04,776.08,776.05,771.05,1403.80955381
1481500800,770.93,781.96,771.05,778.94,1920.13865837
1481587200,772.84,790.34,779.26,776.18,2054.12348273
1481673600,773.5,781.79,776.65,777.65,2016.32270408
1481760000,775.0,780.0,777.66,776.16,2372.3341023
1481846400,774.8,785.0,776.16,780.97,2364.27453189
1481932800,779.62,791.97,780.85,788.57,1990.13968459
1482019200,787.19,791.92,788.98,790.71,1356.50526268
1482105600,789.01,794.99,790.71,790.81,2237.38254793
1482192000,788.84,799.21,791.0,799.0,1904.86565583
1482278400,798.93,834.5,798.98,834.5,3576.6202181
1482364800,832.42,875.56,834.15,856.02,3545.26388554
1482451200,855.48,918.45,856.45,917.66,4058.25632507
1482537600,880.8,918.18,917.28,892.89,2187.09694202
1482624000,851.11,897.13,891.59,896.07,1609.36918924
1482710400,890.08,908.22,895.94,901.99,1059.20985366
1482796800,895.24,939.93,902.08,925.2,2124.30659233
1482883200,925.28,983.25,925.28,982.17,3112.42223378
1482969600,950.66,988.67,982.25,970.72,2790.72290039
1483056000,930.31,970.51,970.51,960.81,2265.14337121
1483142400,949.0,973.2,961.52,973.2,1428.5555531
1483228800,964.66,1000.0,973.37,992.97,1732.15809857
1483315200,991.04,1034.36,992.96,1012.12,2129.95049279
1483401600,1008.08,1036.99,1011.52,1020.67,1991.0812411
1483488000,1019.2,1146.2,1020.69,1132.0,3893.82868407
1483574400,884.0,1175.0,1131.1,1006.99,5278.52667471
1483660800,875.04,1033.67,1007.0,895.71,4516.87690661
1483747200,817.45,910.0,895.78,908.53,3740.59331217
1483833600,899.51,953.8,908.99,923.03,1850.71130339
1483920000,886.43,923.58,922.04,902.66,2289.50036355
1484006400,900.09,915.1,902.66,907.0,1834.70052202
1484092800,765.5,923.8,906.81,800.0,4070.01152472
